,Unnamed: 0,공공민간구분,날씨,온도,시설물 분류,작업프로세스,사망자,20이상 30미만 사망자,30이상 40미만 사망자,40이상 50미만 사망자,50이상 60미만 사망자,60이상 사망자,부상자,20이상 30미만 부상자,30이상 40미만 부상자,40이상 50미만 부상자,50이상 60미만 부상자,60이상 부상자,공정율,설계안정성검토,Month,Time,사고종류,공종,공사규모_0-5,공사규모_5-10,공사규모_10-30,공사규모_30-50,공사규모_50-100,공사규모_100-500,공사규모_500-1000,공사규모_1000-,공사기간
0,0,민간,맑음,23.0,기타 건축,해체작업,0,0,0,0,0,0,1,0,0,0,1,0,20~29%,비대상,7.0,7.0,끼임,기타공사,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,744.0
1,1,민간,강우,28.0,공동주택,해체작업,0,0,0,0,0,0,1,0,1,0,0,0,80~89%,비대상,7.0,8.0,물체에 맞음,가설공사,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2,2,민간,맑음,30.0,토목,해체작업,0,0,0,0,0,0,1,0,0,0,1,0,60~69%,비대상,7.0,9.0,떨어짐,가설공사,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,244.0
3,3,공공,맑음,23.0,토목,해체작업,0,0,0,0,0,0,1,0,0,0,0,1,90% 이상,대상,7.0,10.0,"절단, 베임",가설공사,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1565.0
4,4,민간,맑음,26.0,공동주택,설비작업,0,0,0,0,0,0,1,0,0,0,1,0,50~59%,대상,7.0,10.0,넘어짐,설비공사,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,882.0
5,5,민간,흐림,29.0,공동주택,운반작업,0,0,0,0,0,0,1,0,0,0,0,1,20~29%,비대상,7.0,10.0,기타,기타공사,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,664.0
6,6,공공,흐림,23.8,토목,용접작업,0,0,0,0,0,0,1,0,0,0,1,0,30~39%,비대상,7.0,11.0,떨어짐,가설공사,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,364.0
7,7,공공,맑음,24.0,공동주택,이동,0,0,0,0,0,0,1,0,0,0,1,0,10~19%,대상,7.0,11.0,넘어짐,콘크리트공사,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,449.0
8,8,민간,흐림,26.7,공장,인발작업,0,0,0,0,0,0,1,0,0,0,1,0,90% 이상,대상,7.0,13.0,기타,기타공사,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0
9,9,공공,흐림,28.0,기타 건축,설비작업,0,0,0,0,0,0,1,0,0,0,1,0,30~39%,대상,7.0,13.0,떨어짐,설비공사,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,362.0
10,10,민간,맑음,28.0,기타 건축,이동,0,0,0,0,0,0,1,0,0,0,1,0,60~69%,비대상,7.0,14.0,넘어짐,기타공사,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,182.0
11,11,민간,맑음,27.0,공장,설치작업,0,0,0,0,0,0,1,0,0,0,1,0,10% 미만,비대상,7.0,16.0,끼임,가설공사,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,307.0
12,12,민간,흐림,31.0,공동주택,정리작업,0,0,0,0,0,0,1,0,0,1,0,0,30~39%,대상,7.0,17.0,물체에 맞음,토공사,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,812.0
13,13,민간,맑음,21.0,공동주택,설비작업,0,0,0,0,0,0,1,0,0,0,1,0,50~59%,대상,7.0,7.0,기타,설비공사,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,91.0
14,14,공공,맑음,25.0,기타 건축,타설작업,0,0,0,0,0,0,1,0,0,0,0,1,50~59%,비대상,7.0,7.0,"절단, 베임",가설공사,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
15,15,공공,맑음,23.0,토목,연결작업,0,0,0,0,0,0,1,0,0,0,1,0,10% 미만,비대상,7.0,7.0,끼임,기타공사,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,90.0
16,16,공공,맑음,22.0,기타 건축,준비작업,0,0,0,0,0,0,1,0,0,1,0,0,60~69%,비대상,7.0,7.0,넘어짐,철골공사,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
