,사고명,사고일시,공공민간구분,날씨,온도,습도,시설물 분류,시설물 중분류,시설물 소분류,연면적,지상층수,지하층수,공사종류,인적사고종류,안전방호조치여부,개인보호조치여부,물적사고종류,공종(대분류),공종(소분류),사고객체(대분류),사고객체(소분류),작업프로세스,사고위치 장소,사고위치 장소(직접입력),사고위치 부위,사고위치 부위(직접입력),주원인 유형,사고원인(주원인),사고원인(보조원인1),사고원인(보조원인2),구체적사고원인,사망자,내국인 사망자,외국인 사망자,남성 사망자,여성 사망자,10이상 20미만 사망자,20이상 30미만 사망자,30이상 40미만 사망자,40이상 50미만 사망자,50이상 60미만 사망자,60이상 사망자,부상자,내국인 부상자,외국인 부상자,남성 부상자,여성 부상자,10이상 20미만 부상자,20이상 30미만 부상자,30이상 40미만 부상자,40이상 50미만 부상자,50이상 60미만 부상자,60이상 부상자,피해금액,피해내용,사고신고사유,공사비,해당공종 공사비,공사시작일,공사종료일,해당공종 공사시작일,해당공종 공사종료일,낙찰율,공정율,작업자수,안전관리계획,설계안정성검토,사고조사방법,향후조치계획,사고경위,사고발생후 조치사항,재발방지대책,Month,Time,사고종류,공종,공사규모_0-5,공사규모_5-10,공사규모_10-30,공사규모_30-50,공사규모_50-100,공사규모_100-500,공사규모_500-1000,공사규모_1000-,공사기간,construction_id
12771,"강릉안인 1,2호기 이동 중 넘어짐",  2022-04-04 13:10,공공,맑음,15.0,33.0,산업환경설비,발전시설,미입력,미입력,미입력,미입력,산업환경설비/발전시설,넘어짐,해당없음,해당없음,기타,기계설비,기계설비공사,기타,기타,이동,내부,미입력,바닥,미입력,환경적요인,작업자의 단순과실,미입력,미입력,지정통로 외 구간으로 이동,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,"1,000만원 미만",우측 손가락/무릎 미세골절,3일이상 휴업이 필요한 부상,"1,000억원 이상","1,000억원 이상",2018-03-16,2023-06-15,2019-03-16,2022-12-31,80~84%,80~89%,500인 이상,대상현장(1/2종),대상,일반조사,산업재해조사표 제출 및 동선 관리 철저,"현장 이동 중 넘어졌으나 통증이 없어 정상 근무 후 퇴근, 4월5일 통증이 있어 병원 방문 및 4월6일 골절 확인","4/5일 정상 출근 후 통증이 있다고 보고하여 병원 방문,4/6일 골절 확인",인동선 식별조치 및 안전통로 이동 교육 실시,4.0,13.0,넘어짐,설비공사,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1386.0,1354.0
3740,"강원도 강릉시 강동면 대동길 123 강릉안인화력 1,2호기 건설공사",  2020-04-29 08:00,공공,맑음,18.0,33.0,산업환경설비,발전시설,미입력,미입력,미입력,미입력,산업환경설비/발전시설,넘어짐,미입력,미입력,기타,전기설비,전기설비공사,기타,기타,운반작업,미입력,미입력,미입력,미입력,미입력,작업자의 단순과실|작업중 이동,미입력,미입력,구획 설정된 안전통로 미이용,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,"1,000만원 미만",우측 슬관절 전십자인대 염좌 및 긴장,기타,"1,000억원 이상",150억 ~ 200억원 미만,2018-03-16,2023-06-15,2019-11-15,2022-12-31,80~84%,40~49%,500인 이상,대상현장(1/2종),대상,일반조사,TBM 시 사고 전파 및 안전통로 이용 교욕 실시,"보온재 운반 중 넘어짐, 이튿날 현장 복귀하여 약 1달간 정상 근무 하였으나 최근 무릎통증을 호소하여 MRI 촬영 결과 십자인대 등 염좌 및 긴장 진단","병원 이동 후 진단 결과 특이사항 없어 현장 출역, 1달 간 근무 후 무릎 통증 주장하여 mri 촬영, 염좌 및 긴장으로 요양급여 신청 예정",안전통로 이용 교육 실시,4.0,8.0,넘어짐,설비공사,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1142.0,1354.0
2793,"강원도 강릉시 강동면 대동길 123 강릉안인화력 1,2호기 건설공사",  2020-02-18 15:30,공공,맑음,6.0,35.0,산업환경설비,발전시설,미입력,미입력,미입력,미입력,산업환경설비/발전시설,넘어짐,미입력,미입력,기타,건축,철근콘크리트공사,가시설,거푸집,설치작업,미입력,미입력,미입력,미입력,미입력,기타,미입력,미입력,생계형 사고,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,"1,000만원 미만",반월판 연골 파열(주장),기타,"1,000억원 이상",100억 ~ 150억원 미만,2018-03-16,2023-06-15,2019-01-09,2020-05-31,80~84%,40~49%,500인 이상,대상현장(1/2종),대상,일반조사,현장 정리정돈 및 생계형 재해 사전 대응,유로폼 형틀 설치 작업 중 합판을 밟고 무릎을 부딪혀 반월반연골이 손상되었다고 요양급여를 신청  - 생계형으로 대응하였으나 근로복지공단으로부터 최종 승인,불인정 취지 의견서 제출,작업장 정리 정돈 실시,2.0,15.0,넘어짐,콘크리트공사,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,508.0,1354.0
12391,"강릉안인 1,2호기 배관 플렌지 교체 중 스팀에 데임",  2022-03-04 15:50,공공,맑음,12.0,29.0,산업환경설비,발전시설,미입력,미입력,미입력,미입력,산업환경설비/발전시설,화상,조치,조치,기타,기계설비,기계설비공사,부재,배관,정비작업,내부,미입력,바닥,미입력,관리적요인,"복장, 개인보호구의 부적절한 사용",미입력,미입력,방열복 착용 미흡,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,"1,000만원 미만",코 주변 1도 및 표재성 2도 화상,3일이상 휴업이 필요한 부상,"1,000억원 이상",200억 ~ 300억원 미만,2018-03-16,2023-06-15,2020-02-25,2022-12-31,80~84%,80~89%,500인 이상,대상현장(1/2종),대상,일반조사,산업재해조사표 제출,"스팀블로잉 배관 플랜지 교체 중 착용한 방열복과 헬맷 사이로 스팀이 유입, 코 주변 수포 발생 코 주변 1도 및 콧등 2도 표재성 화상",현장 내 응급처치 후 병원으로 이동,벨크로 타입으로 방열복 변경,3.0,15.0,화상,설비공사,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1040.0,1354.0
2611,"강원도 강릉시 강동면 대동길 123 강릉안인화력 1,2호기 건설공사",  2020-02-03 09:50,공공,맑음,0.0,35.0,산업환경설비,발전시설,미입력,미입력,미입력,미입력,산업환경설비/발전시설,끼임,미입력,미입력,기타,건축,철근콘크리트공사,미입력,미입력,조립작업,미입력,미입력,미입력,미입력,미입력,무모한 또는 불필요한 행위 및 동작|불안전한 작업자세,미입력,미입력,작업 위치 부적절 및 절곡되는 철근을 손으로 잡고 있음,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,"1,000만원 미만",우측 수지 개방성 골절,3일이상 휴업이 필요한 부상,"1,000억원 이상","1,000억원 이상",2018-03-16,2023-06-15,2018-09-21,2020-06-15,80~84%,40~49%,500인 이상,대상현장(1/2종),대상,일반조사,절곡기 주변 협착 방지를 위한 추가시설 설치,철근 가공장에서 29mm 철근 가공 작업 중 철근을 잡고 있던 손가락이 철근과 밴딩기 사이에 끼임,해당 협력회사 작업중지 및 특별교육 실시,철근가공 근로자 특별교육 실시 및 절곡기 내 접근 방지 조치 실시,2.0,9.0,끼임,콘크리트공사,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,633.0,1354.0
11858,"**** *,*호기 빔포스트 해체 중 손가락 다침",  2022-01-11 16:30,공공,맑음,-1.0,39.0,산업환경설비,발전시설,미입력,미입력,미입력,미입력,산업환경설비/발전시설,부딪힘,조치,조치,기타,건축,철골공사,가시설,안전시설물,해체작업,외부,미입력,고소,미입력,관리적요인,해체방법 부적정,미입력,미입력,빔포스트 볼트 해체 시 라쳇렌치 회전 방향 부적절,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,"1,000만원 미만",우측 제5수지 원위지골 미세골절,3일이상 휴업이 필요한 부상,"1,000억원 이상",50억 ~ 100억원 미만,2018-03-16,2023-06-15,2019-12-02,2022-12-31,80~84%,80~89%,500인 이상,대상현장(1/2종),대상,일반조사,산업재해조사표 제출,"*/**일 판넬 설치 준비 작업으로 기설치된 빔포스트 해체 작업 중 새끼손가락을 철골 빔에 부딪힘, */**일까지 정상 출근 후 */**일 요양급여 신청",*/**일까지 정상 근무 후 */**일 요양급여 신청,작업방법 변경,1.0,16.0,부딪힘,철골공사,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1125.0,1354.0
12007,"강릉안인 1,2호기 비계 파이프 들고 이동 중 넘어짐",  2022-01-25 10:40,공공,맑음,4.0,64.0,산업환경설비,발전시설,미입력,미입력,미입력,미입력,산업환경설비/발전시설,넘어짐,해당없음,해당없음,기타,기계설비,기계설비공사,가시설,비계,운반작업,내부,미입력,바닥,미입력,환경적요인,작업자의 단순과실,미입력,미입력,인력 운반 중 부주의,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,"1,000만원 미만",좌측 중지 미세골절,3일이상 휴업이 필요한 부상,"1,000억원 이상",150억 ~ 200억원 미만,2018-03-16,2023-06-15,2020-07-01,2023-03-31,80~84%,80~89%,500인 이상,대상현장(1/2종),대상,일반조사,산업재해조사표 제출,비계파이프를 들고 이동 중 넘어지며 들고 있던 파이프에 좌측 중지를 부딪힘,2/18일까지 정상 출역 후 통증 등으로 산재 처리 확정,이동 식 주의 교육 실시,1.0,10.0,넘어짐,설비공사,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1003.0,1354.0
2716,"강원도 강릉시 강동면 대동길 123 강릉안인화력 1,2호기 건설공사",  2020-02-12 08:30,공공,흐림,7.4,65.0,산업환경설비,발전시설,미입력,미입력,미입력,미입력,산업환경설비/발전시설,물체에 맞음,미입력,미입력,기타,건축,철골공사,건설자재,체인블럭,설치작업,미입력,미입력,미입력,미입력,미입력,연결부 파손,미입력,미입력,정격하중을 초과한 하중 작용하여 체인블럭 파손,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,"1,000만원 미만",우측 손목 척골 돌기 실금,3일이상 휴업이 필요한 부상,"1,000억원 이상","1,000억원 이상",2018-03-16,2023-06-15,2019-02-28,2023-06-15,80~84%,40~49%,500인 이상,대상현장(1/2종),대상,일반조사,현장 체인블럭 작업 전 점검 철저 실시 및 체인블럭 관련 작업기준 수립/준수,"지조립된 철골 양중/설치하기위해 체인블럭을 이용하여 볼트 구멍을 맞추던 중 후크쪽 체인이 파손되며 재해자의 오른 손목을 타격, 재해 발생일 이후 계속 근무하였으나 금일 산재 신청 의사 밝힘",해당 협력회사 작업 중지 및 특별교육현장 내 체인블럭 전수 검사,현장 체인블럭 작업 전 점검 철저 실시 및 체인블럭 관련 작업기준 수립/준수,2.0,8.0,물체에 맞음,철골공사,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1568.0,1354.0
2837,"강원도 강릉시 강동면 대동길 123 강릉안인화력 1,2호기 건설공사",  2020-02-20 21:05,공공,맑음,4.5,60.0,산업환경설비,발전시설,미입력,미입력,미입력,미입력,산업환경설비/발전시설,넘어짐,미입력,미입력,기타,토목,터널공사,미입력,미입력,청소작업,미입력,미입력,미입력,미입력,미입력,작업신호 불량|작업자의 단순과실,미입력,미입력,골재분리기 내부 청소작업자 미인지,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,"1,000만원 미만",우측 어깨 및 무릎 타박상,기타,"1,000억원 이상","500억 ~ 1,000억원 미만",2018-03-16,2023-06-15,2018-05-24,2021-02-28,80~84%,30~39%,500인 이상,대상현장(1/2종),대상,일반조사,이수플랜트 개선 및 비상정지장치 설치,"TBM 이수플랜트 내 배수터널 골재분리기기 과부하로 정지하자 취수터널 골재분리기 내부 청소 작업을 인지하지 못하고 배출라인을 전환 가동하여 근로자 넘어짐 - 발생 당시 단순 타박상으로 계속 근무하였으나, 3월 16일 현재 치료목적으로 산재를 요청함",선별기 내 모니터링 가능한 CCTV 추가 설치,이수플랜트 개선 및 전원차단 장치 설치,2.0,21.0,넘어짐,토목공사,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1011.0,1354.0
3744,"강릉안인화력 1,2호기 회전근개 파열 승인의 건",  2020-04-29 09:00,공공,맑음,20.0,34.0,산업환경설비,발전시설,미입력,미입력,미입력,미입력,산업환경설비/발전시설,기타,미입력,미입력,기타,기타,기타,기타,기타,기타,직접입력,질병성,직접입력,질병성,관리적요인,기타,미입력,미입력,장기간(25년 이상) 건설업 종사에 따른 개인 질병,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,"1,000만원 미만","외상성으로 명시되지 않은 회전근개, 극상근 찢김  또는 완전 파열","3일이상 휴업이 필요한 부상, 기타","1,000억원 이상",150억 ~ 200억원 미만,2018-03-16,2023-06-15,2018-09-21,2021-12-31,80~84%,40~49%,500인 이상,대상현장(1/2종),대상,일반조사,산재조사표 제출 및 근골격계 관리,"당 현장에서 약 3개월 근무 후, '19.8.21일 그라인더에 베임 사고로 산재처리 후 퇴사하였으나,'20.4.29일 회전근개 파열(질병성)로 요양급여 신청, 불인정의견서를 제출하였으나 최종 승인",요양급여 신청에 따라 불승인의견서 제출하였으나 최종 승인,근골격계 관리 철저,4.0,9.0,기타,기타공사,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1197.0,1354.0
